HHID,year,y3_panelweight,psu,lat,lon,region,district,ward,ea,urban,femhead,agehead,hhszae,educave15_60,area_gps,distprschool,credit,TLU_cattle,TLU_oxen,TLU_pigs,TLU_sheep,TLU_goats,TLU_chicken,TLU_donkeyhorses,TLU_otheranim,cellphone,safewater,landown,swc_any,fert_org_use,tot_exp,food_exp,mean_rain_lt,sd_rain_lt
4438,2008,1595.233521,402012000,-4.981311321,38.50666809,Tanga,2,12,402012002,0,0,36,5.2799997,7,6,0,0,1,0,0,0,0.40000001,0.12,0,0,1,0,2.731627941,0,0,1454.0699,1238.0688,704.43579,124.33101
1304,2008,1607.552979,1801009024,-1.498553634,31.07672882,Kagera,1,9,1801009001,0,0,87,8.1000004,6.75,1.522169143,0,0,0,0,0,0,0,0,0,0,0,0,0.615999937,0,0,5928.1724,5731.1787,505.96826,78.378609
666,2008,2021.641479,2104008320,-3.58985877,36.97372437,Manyara,4,8,2104008330,1,1,51,5.7600002,6.5999999,12.49999994,1.5,0,0,0,0,0,0,0.099999994,0,0,1,1,0,0,0,781.19141,242.40755,380.67395,96.985313
4211,2008,1931.647461,505009344,-6.800693989,37.64569092,Morogoro,5,9,505009333,1,0,34,7.3800001,7,12.49999994,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,3200.782,2258.3416,441.72211,74.169075
4525,2008,4187.425293,304031008,-3.30995965,37.47368622,Kilimanjaro,4,31,304031003,0,0,47,7.3199997,9.25,2,0,0,0.5,0,0,0,0.2,0.029999999,0,0,1,0,0.202342793,1,1,2876.5803,1943.2825,791.01764,205.59813
616,2008,493.5551147,5101005824,-5.837711811,39.21999741,KASKAZINI UNGUJA,1,6,5101006016,0,0,30,2.72,1.5,1,0,0,0,0,0,0,0,0,0,0,0,1,0.202342793,0,0,1060.8114,450.78116,943.15503,219.44159
297,2008,116.4565811,5302010880,-6.158994198,39.20436478,MJINI/MAGHARIBI UNGUJA,2,11,5302011012,1,0,58,8.3599997,9.875,12.49999994,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,5060.7021,3339.5747,503.04272,109.22431
1801,2008,3443.435547,1503012352,-7.371509552,30.6258297,Rukwa,3,12,1503012307,1,0,32,3.74,5,3,0,0,0,0,0,0,0,0,0,0,1,0,1.416399598,0,0,1130.6329,922.97229,385.56863,59.22419
2689,2008,271.76297,1002011328,-10.60552597,35.48898315,Ruvuma,2,11,1002011311,1,1,58,3.6199999,4.6666665,2,0,0,0,0,0.40000001,0,0.30000001,0.07,0,0,0,1,0.809371173,0,1,673.36896,629.83252,582.32758,84.5355
2541,2008,3096.089844,1102012032,-8.402626038,34.74558258,Iringa,2,12,1102012001,0,0,38,3.98,7,3,0,0,0,0,0,0,0,0.29999998,0,0.2,0,1,2.023427963,0,1,1265.2584,1167.2955,389.59732,59.462799
3213,2008,1761.299561,802024000,-9.922980309,39.32835388,Lindi,2,24,802024002,0,0,61,3.54,0,2,0,0,0,0,0,0,0,0.099999994,0,0,1,1,1.112885356,0,0,2000.4653,1705.1141,670.90179,119.21783
728,2008,3581.933594,2101014016,-4.225526333,35.32476425,Manyara,1,14,2101014002,0,0,41,4.3600001,5,1,0,0,0,0,0.40000001,0.2,0.69999999,0.13,0,0.60000002,0,0,0.809371173,0,0,1132.6045,948.03119,405.74472,76.236511
958,2008,4623.479004,1905016960,-2.371342421,32.1579361,Mwanza,5,17,1905017001,0,0,42,5.8800001,7,2,0,0,1,0,0,0,0.1,0.02,0,0.60000002,0,1,1.821085095,1,0,1426.1512,1178.5021,558.18494,120.60456
1103,2008,5423.398438,1901010944,-2.017008066,32.86828232,Mwanza,1,11,1901011005,0,0,58,7.2600002,5,1.861444831,0,0,1,0,0,0,0,0.14999999,0,0,1,1,0.753299892,1,0,1277.3046,918.39935,626.17188,142.82065
3161,2008,1365.330322,804014976,-9.803608894,37.98104858,Lindi,4,15,804015002,0,0,57,2,0,2,0,0,0,0,0,0,0,0.01,0,0.2,0,1,1.719913721,0,0,1254.7161,580.55475,485.72394,88.015129
4448,2008,4135.132813,402008352,-5.172634125,38.47192383,Tanga,2,8,402008352,1,0,66,4.4000001,3.5,3,0,0,0,0,0,0,0,0.029999999,0,0,0,0,2.93397069,0,0,1171.7216,891.83765,701.22192,121.55737
3033,2008,1279.098633,901016000,-10.13091946,39.99642181,Mtwara,1,16,901016002,0,1,64,4.2399998,0,1.274286985,0,0,0,0,0,0,0,0,0,0,0,1,0.515685558,0,0,725.12073,614.28192,543.23993,99.242249
4616,2008,1866.577148,301012000,-3.111165047,37.59644318,Kilimanjaro,1,12,301012002,0,1,68,2,0,2,0,0,0,0,0,0,0.2,0.01,0,0,0,1,0.303514183,0,0,942.5116,723.4657,679.59064,189.80009
1386,2008,1608.944458,1707012992,-3.558336735,33.41670227,Shinyanga,7,13,1707013001,0,1,63,3,7,1,0,0,0,0,0,0,0,0,0,0,0,1,0.607028425,0,0,746.18494,470.65683,412.18225,89.440918
1941,2008,1411.574219,1405010048,-5.360288143,32.71773529,Tabora,5,10,1405010005,0,0,62,5.52,7,2,0,0,0,0,0,0,0,0.099999994,0,0,0,1,2.023427963,1,0,1065.2114,1020.3688,490.64536,98.82489
929,2008,6237.1875,1906020992,-2.900259972,32.23957443,Mwanza,6,21,1906021004,0,0,36,3,8.333333,12.49999994,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4974.4287,2691.6084,480.77368,93.199677
2632,2008,2596.57666,1003022016,-10.98744583,34.89338684,Ruvuma,3,22,1003022002,0,1,37,2,7,4,0,0,0,0,0.2,0,0,0,0,0,0,0,1.416399598,1,1,380.27521,323.57672,673.27502,102.97035
2560,2008,3493.590088,1101011968,-7.940415382,35.06478119,Iringa,1,12,1101012002,0,0,83,2,0,3,0,0,0,0,0.2,0,0,0.02,0,0,0,1,2.428113461,0,0,1781.6685,1307.3405,424.76703,73.916115
2290,2008,3276.885986,1204029056,-9.167908669,33.54329681,Mbeya,4,29,1204029002,0,0,31,6.6799998,8,4.880331516,0,0,0.5,0,0,0,0,0.19999999,0,0,1,0,1.974999785,0,1,2712.8738,1520.8588,936.86975,150.93137
2976,2008,1789.219116,902014976,-10.72779465,39.40541458,Mtwara,2,15,902015007,0,1,65,2,7,3,0,0,0,0,0,0,0,0.07,0,0,0,1,0.404685587,0,0,850.21277,822.41943,686.2326,105.72035
1793,2008,4181.069824,1504008064,-7.9421978,31.701828,Rukwa,4,8,1504008004,0,0,48,4.3600001,5.25,3,0,0,0,0,0,0,0,0.029999999,0,0.2,0,0,2.124599457,0,1,3033.5359,2325.3179,475.40042,101.87373
3423,2008,2412.182617,703019072,-6.856714249,39.2533989,Dar es salaam,3,19,703019096,1,0,50,5.98,7.5,12.49999994,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2326.033,1446.8103,671.04755,149.98047
2849,2008,1628.549316,904011008,-10.7963028,39.51700211,Mtwara,4,11,904011002,0,1,47,5.54,4.6666665,3.892827213,0,0,0,0,0,0,0,0.19,0,0,0,0,1.069514155,0,0,1782.7172,1552.4028,675.61041,107.86833
488,2008,790.8170776,5301002240,-6.107298374,39.21884537,MJINI/MAGHARIBI UNGUJA,1,2,5301002304,1,0,39,3.5999999,10,12.49999994,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3365.7449,1966.2985,504.22623,110.22192
3044,2008,746.6818848,901012992,-10.29862785,39.88513565,Mtwara,1,13,901013007,0,0,30,2.3600001,3.5,2,0,0,0,0,0,0,0,0.029999999,0,0,0,1,1.21405673,1,0,468.26367,326.26218,586.4682,110.36374
2266,2008,2915.725586,1206006016,-8.890516281,33.02122879,Mbeya,6,6,1206006004,0,1,41,3.54,3.5,2,0,0,0,0,0,0,0,0.049999997,0,0,0,0,0.526091278,0,1,1336.6869,881.22205,553.94299,108.54299
532,2008,795.2313232,5201020928,-6.16711998,39.43731689,KUSINI UNGUJA,1,21,5201021013,0,0,47,6.7600002,7.6666665,2,0,0,3.5,0,2,0,0,0,0,0,1,1,2.023427963,0,1,3116.5247,2253.0183,520.32904,113.15977
2596,2008,1729.137817,1005009024,-10.09876442,35.90294647,Ruvuma,5,9,1005009001,0,0,27,3.3800001,7,2,0,1,0,0,0,0.2,0,0.039999999,0,0,0,1,4.451541424,0,0,910.20618,754.93182,779.92151,125.41937
